epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
98,22641,0.713823,0.142990,0.621228,0.885784,0.6500,0.3500
98,22691,0.445847,0.166942,0.215558,0.891088,0.6591,0.3409
99,22771,0.337808,0.137687,0.156097,0.885573,0.7509,0.2491
99,22821,0.642021,0.155271,0.507678,0.891515,0.6500,0.3500
99,22871,0.592743,0.187124,0.471372,0.885483,0.7069,0.2931
99,22921,0.679001,0.171763,0.625057,0.879290,0.7878,0.2122
100,23001,0.537651,0.212517,0.286607,0.882411,0.5786,0.4214
100,23051,0.649741,0.116390,0.525446,0.880576,0.6500,0.3500
100,23101,1.159778,0.153141,1.227160,0.890255,0.8000,0.2000
100,23151,0.477184,0.166844,0.204587,0.884547,0.5991,0.4009
101,23231,0.515535,0.235114,0.314509,0.888870,0.6500,0.3500
101,23281,0.597496,0.137014,0.522521,0.897394,0.8000,0.2000
101,23331,0.648522,0.241633,0.468142,0.877259,0.5591,0.4409
101,23381,0.610708,0.173482,0.492943,0.885495,0.7000,0.3000
102,23461,0.548572,0.152144,0.459494,0.879309,0.7878,0.2122
102,23511,0.647153,0.243330,0.450013,0.877739,0.5391,0.4609
102,23561,0.935189,0.112395,0.963498,0.882614,0.6500,0.3500
102,23611,0.361849,0.194839,0.230299,0.888046,0.8000,0.2000
103,23691,0.820301,0.191337,0.791489,0.873810,0.6500,0.3500
103,23741,0.579078,0.170392,0.410451,0.892243,0.6500,0.3500
103,23791,0.686433,0.197414,0.620389,0.885522,0.7509,0.2491
103,23841,0.442818,0.163617,0.175889,0.884088,0.6231,0.3769
104,23921,0.440480,0.166999,0.209611,0.886842,0.6591,0.3409
104,23971,0.447388,0.159887,0.205750,0.877814,0.6405,0.3595
104,24021,0.727303,0.163452,0.611773,0.875652,0.5622,0.4378
104,24071,0.651091,0.134095,0.521255,0.892217,0.6500,0.3500
105,24151,0.578315,0.184813,0.426553,0.887699,0.6709,0.3291
105,24201,0.656854,0.140223,0.533588,0.885778,0.6500,0.3500
105,24251,0.949309,0.183343,0.986854,0.879583,0.6500,0.3500
105,24301,0.429170,0.210609,0.313352,0.892441,0.8000,0.2000
106,24381,0.492099,0.166120,0.152367,0.888747,0.5386,0.4614
106,24431,0.627179,0.250818,0.485140,0.890966,0.6500,0.3500
106,24481,0.585222,0.177675,0.390516,0.889184,0.6095,0.3905
106,24531,0.479892,0.174281,0.210909,0.881856,0.5991,0.4009
107,24611,0.503944,0.127544,0.298278,0.885894,0.6500,0.3500
107,24661,0.863091,0.193475,0.857974,0.883562,0.8000,0.2000
107,24711,0.605260,0.150439,0.383845,0.886033,0.5591,0.4409
107,24761,0.456644,0.130819,0.245101,0.885264,0.6695,0.3305
108,24841,0.539058,0.198269,0.254543,0.886798,0.5500,0.4500
108,24891,0.784296,0.148634,0.733408,0.878802,0.6500,0.3500
108,24941,0.569498,0.219669,0.409653,0.893368,0.6695,0.3305
108,24991,0.377418,0.172902,0.249778,0.887977,0.8000,0.2000
109,25071,0.413911,0.086840,0.125810,0.890179,0.6231,0.3769
109,25121,0.523952,0.188089,0.330196,0.883786,0.6500,0.3500
109,25171,0.430074,0.101652,0.315046,0.890189,0.8000,0.2000
109,25221,0.610741,0.156799,0.402377,0.886436,0.5695,0.4305
110,25301,0.397340,0.166100,0.164351,0.869410,0.6695,0.3305
110,25351,0.295356,0.174255,0.146173,0.892088,0.8000,0.2000
110,25401,0.555906,0.204811,0.375886,0.890227,0.6500,0.3500
110,25451,0.874670,0.274186,0.865047,0.892543,0.6500,0.3500
111,25531,1.045094,0.230653,1.085271,0.884385,0.8000,0.2000
111,25581,1.153661,0.198533,1.294528,0.892050,0.6500,0.3500
111,25631,0.430408,0.108264,0.190071,0.895076,0.6591,0.3409
111,25681,0.703159,0.234971,0.659314,0.878539,0.8000,0.2000
112,25761,0.399644,0.146063,0.137312,0.886833,0.6500,0.3500
112,25811,0.518680,0.238654,0.323403,0.881336,0.6500,0.3500
112,25861,0.419191,0.201328,0.219515,0.885101,0.7000,0.3000
112,25911,0.796122,0.148948,0.731283,0.878344,0.5591,0.4409
113,25991,0.393268,0.175797,0.188174,0.887946,0.7069,0.2931
113,26041,0.726250,0.217057,0.686434,0.885512,0.8000,0.2000
113,26091,0.662849,0.242145,0.529207,0.883776,0.6231,0.3769
113,26141,0.432288,0.112560,0.251514,0.877798,0.7114,0.2886
114,26221,0.411314,0.202626,0.208387,0.884809,0.7000,0.3000
114,26271,0.658671,0.152596,0.484316,0.882556,0.5622,0.4378
114,26321,0.955344,0.226343,0.990043,0.890903,0.6500,0.3500
114,26371,0.578905,0.233486,0.330165,0.882921,0.5500,0.4500
115,26451,1.058392,0.141491,1.148181,0.891642,0.6500,0.3500
115,26501,0.588522,0.167937,0.443418,0.882525,0.6695,0.3305
115,26551,0.552830,0.157492,0.468362,0.890701,0.8000,0.2000
115,26601,0.487348,0.152432,0.189394,0.869942,0.5622,0.4378
116,26681,0.613913,0.161637,0.465957,0.888688,0.6500,0.3500
116,26731,0.349358,0.133191,0.147914,0.885570,0.7269,0.2731
116,26781,0.850833,0.200802,0.835598,0.879127,0.6500,0.3500
116,26831,0.449563,0.204370,0.271251,0.881522,0.7078,0.2922
117,26911,0.352540,0.248118,0.209194,0.884766,0.7878,0.2122
117,26961,0.751222,0.170417,0.681361,0.880963,0.6500,0.3500
117,27011,0.549090,0.180039,0.366008,0.889100,0.6500,0.3500
117,27061,0.653056,0.176974,0.552502,0.887683,0.7000,0.3000
118,27141,0.493590,0.195548,0.200980,0.895432,0.5786,0.4214
118,27191,0.641271,0.159817,0.512142,0.881083,0.6500,0.3500
118,27241,0.745070,0.146177,0.710561,0.883108,0.8000,0.2000
118,27291,0.680290,0.266748,0.542867,0.886424,0.6000,0.4000
119,27371,0.587922,0.250398,0.446639,0.888774,0.6805,0.3195
119,27421,0.535435,0.170827,0.419231,0.885732,0.7509,0.2491
119,27471,0.757819,0.223469,0.687065,0.889220,0.6500,0.3500
119,27521,0.794665,0.149070,0.743909,0.888926,0.6500,0.3500
120,27601,0.570772,0.233503,0.463033,0.895550,0.7509,0.2491
120,27651,0.625087,0.215746,0.485125,0.885017,0.6500,0.3500
120,27701,1.293095,0.170380,1.511759,0.887005,0.6500,0.3500
120,27751,0.442808,0.197481,0.332085,0.885699,0.8000,0.2000
121,27831,0.445633,0.166388,0.151676,0.884915,0.5991,0.4009
121,27881,0.645782,0.172490,0.518165,0.882786,0.6500,0.3500
121,27931,0.489656,0.148609,0.294807,0.886876,0.6709,0.3291
121,27981,0.610893,0.246870,0.427853,0.884424,0.5991,0.4009
122,28061,0.781536,0.205860,0.732759,0.885402,0.6805,0.3195
122,28111,0.326399,0.207249,0.187147,0.883409,0.8000,0.2000
122,28161,0.613321,0.200476,0.385436,0.891847,0.5500,0.4500
122,28211,0.884545,0.244420,0.882686,0.887997,0.6500,0.3500
123,28291,0.460432,0.192292,0.354276,0.885056,0.8000,0.2000
123,28341,0.619223,0.177925,0.433773,0.887088,0.5909,0.4091
123,28391,0.715391,0.163487,0.621331,0.890074,0.6500,0.3500
123,28441,0.839230,0.196894,0.821804,0.879891,0.7000,0.3000
124,28521,0.496054,0.138090,0.173180,0.879823,0.5431,0.4569
124,28571,0.477915,0.150952,0.264373,0.890779,0.6591,0.3409
124,28621,0.474072,0.158774,0.245165,0.881818,0.6405,0.3595
124,28671,0.965562,0.204520,1.032857,0.883312,0.5500,0.4500
125,28751,0.360311,0.166949,0.145147,0.889407,0.7109,0.2891
125,28801,0.780670,0.194840,0.755142,0.882784,0.8000,0.2000
125,28851,0.488968,0.110347,0.248348,0.886745,0.6231,0.3769
125,28901,0.370931,0.148010,0.142500,0.881524,0.6909,0.3091
126,28981,0.429031,0.117356,0.172684,0.885655,0.6405,0.3595
126,29031,0.754066,0.151935,0.659141,0.884425,0.5786,0.4214
126,29081,0.466987,0.271741,0.244163,0.880803,0.6500,0.3500
126,29131,0.510806,0.282075,0.418799,0.878831,0.8000,0.2000
127,29211,0.541894,0.131245,0.358129,0.883171,0.6500,0.3500
127,29261,0.455408,0.205389,0.225823,0.881780,0.6500,0.3500
127,29311,0.533305,0.232840,0.445332,0.885199,0.8000,0.2000
127,29361,0.564892,0.179631,0.393688,0.882843,0.6500,0.3500
128,29441,0.596732,0.176855,0.438162,0.891220,0.6500,0.3500
128,29491,0.606556,0.201052,0.536790,0.885621,0.8000,0.2000
128,29541,0.628506,0.168865,0.474805,0.882594,0.6231,0.3769
128,29591,0.654489,0.172547,0.551889,0.883823,0.6909,0.3091
129,29671,0.657945,0.140192,0.368378,0.884215,0.4386,0.5614
129,29721,0.893059,0.156450,0.894785,0.889854,0.6500,0.3500
129,29771,0.578246,0.160135,0.451573,0.890429,0.7114,0.2886
129,29821,0.420105,0.231228,0.302562,0.890276,0.8000,0.2000
130,29901,0.755136,0.180005,0.688101,0.879629,0.6500,0.3500
130,29951,0.488156,0.146893,0.269665,0.893927,0.6500,0.3500
130,30001,1.089774,0.206334,1.139734,0.889932,0.8000,0.2000
130,30051,0.444870,0.174245,0.114711,0.881716,0.5695,0.4305
131,30131,0.513044,0.123221,0.310958,0.888347,0.6500,0.3500
131,30181,0.824937,0.160827,0.757585,0.892048,0.4991,0.5009
131,30231,0.531951,0.178922,0.342723,0.883373,0.6500,0.3500
131,30281,0.554410,0.175191,0.387347,0.892905,0.6695,0.3305
132,30361,0.549058,0.162012,0.465715,0.882432,0.8000,0.2000
132,30411,0.639101,0.204053,0.450335,0.881491,0.5622,0.4378
132,30461,0.718380,0.139223,0.641495,0.882101,0.6805,0.3195
132,30511,0.275497,0.114179,0.124172,0.880795,0.8000,0.2000
133,30591,0.391749,0.139860,0.125969,0.885340,0.6500,0.3500
133,30641,0.784204,0.172442,0.739454,0.879496,0.6805,0.3195
133,30691,0.662815,0.202951,0.384534,0.884219,0.4431,0.5569
133,30741,0.660931,0.146001,0.468518,0.885579,0.5386,0.4614
134,30821,0.537069,0.188425,0.350666,0.883247,0.6500,0.3500
134,30871,0.953835,0.219128,0.972129,0.880656,0.8000,0.2000
134,30921,0.456423,0.190042,0.197046,0.885206,0.6231,0.3769
134,30971,0.596547,0.175057,0.437660,0.891622,0.6500,0.3500
135,31051,0.289082,0.191661,0.139580,0.887089,0.8000,0.2000
135,31101,0.541552,0.226812,0.357675,0.883037,0.6500,0.3500
135,31151,0.575275,0.242309,0.407752,0.886390,0.6500,0.3500
135,31201,0.942358,0.240475,0.987870,0.886733,0.5500,0.4500
136,31281,0.497900,0.157589,0.204849,0.885648,0.5695,0.4305
136,31331,0.469315,0.135782,0.294659,0.890577,0.7069,0.2931
136,31381,0.355163,0.123061,0.221432,0.890089,0.8000,0.2000
136,31431,0.505839,0.116221,0.231511,0.882574,0.5786,0.4214
137,31511,0.812813,0.152642,0.782951,0.885154,0.7078,0.2922
137,31561,0.319112,0.126257,0.177374,0.886062,0.8000,0.2000
137,31611,0.552227,0.107491,0.264029,0.894779,0.5431,0.4569
137,31661,0.470902,0.181782,0.256162,0.886080,0.6591,0.3409
138,31741,0.568327,0.149283,0.368436,0.880383,0.6095,0.3905
138,31791,0.574779,0.151204,0.327767,0.888009,0.5591,0.4409
138,31841,1.190982,0.197790,1.354971,0.886432,0.6500,0.3500
138,31891,0.580363,0.158867,0.503819,0.886538,0.8000,0.2000
139,31971,0.397923,0.164799,0.104299,0.883322,0.6231,0.3769
139,32021,0.399783,0.170982,0.138912,0.884259,0.6500,0.3500
139,32071,0.526762,0.242565,0.436928,0.886101,0.8000,0.2000
139,32121,0.705002,0.146459,0.584434,0.885853,0.6000,0.4000
140,32201,0.868575,0.199406,0.859476,0.883865,0.6269,0.3731
140,32251,0.507542,0.145735,0.414016,0.881644,0.8000,0.2000
140,32301,0.719529,0.205703,0.633562,0.879181,0.6500,0.3500
140,32351,0.441326,0.186297,0.212670,0.883408,0.6591,0.3409
141,32431,0.306418,0.152208,0.150349,0.885882,0.7878,0.2122
141,32481,0.728502,0.198915,0.594183,0.888153,0.5431,0.4569
141,32531,0.624762,0.180660,0.515381,0.888584,0.7069,0.2931
141,32581,0.409670,0.139872,0.289410,0.890712,0.8000,0.2000
142,32661,0.435551,0.143764,0.191326,0.889112,0.6500,0.3500
142,32711,0.562250,0.159349,0.408766,0.889085,0.6805,0.3195
142,32761,0.770219,0.160257,0.742449,0.881297,0.8000,0.2000
142,32811,0.540534,0.126565,0.355094,0.884923,0.6500,0.3500
143,32891,0.735475,0.162138,0.662883,0.890053,0.6805,0.3195
143,32941,0.459026,0.195801,0.317031,0.887069,0.7509,0.2491
143,32991,0.629002,0.218059,0.491377,0.884593,0.6500,0.3500
143,33041,0.471645,0.117899,0.249737,0.883760,0.6500,0.3500
144,33121,0.484075,0.142476,0.232103,0.877437,0.6095,0.3905
144,33171,0.460731,0.130915,0.096522,0.892060,0.5422,0.4578
144,33221,0.628610,0.183714,0.488187,0.890432,0.6509,0.3491
144,33271,0.563929,0.204427,0.466531,0.892510,0.7714,0.2286
145,33351,0.445005,0.208151,0.209025,0.883253,0.6500,0.3500
145,33401,0.440942,0.182162,0.204928,0.879255,0.6500,0.3500
145,33451,0.569009,0.155027,0.489700,0.886245,0.8000,0.2000
145,33501,0.544201,0.204970,0.360110,0.886083,0.6500,0.3500
146,33581,0.510250,0.137971,0.326468,0.882621,0.6695,0.3305
146,33631,0.549485,0.169790,0.464445,0.889648,0.8000,0.2000
146,33681,0.873875,0.189122,0.870434,0.880266,0.6500,0.3500
146,33731,0.490110,0.144836,0.278666,0.882791,0.6500,0.3500
147,33811,0.638364,0.148364,0.576684,0.885082,0.8000,0.2000
147,33861,0.769976,0.169045,0.677146,0.883435,0.5500,0.4500
147,33911,0.788080,0.161658,0.739613,0.881788,0.6591,0.3409
147,33961,0.694322,0.152306,0.647299,0.882416,0.8000,0.2000
148,34041,2.182962,0.209383,2.875715,0.896422,0.6500,0.3500
148,34091,0.419248,0.146022,0.172134,0.878174,0.6500,0.3500
148,34141,0.822898,0.197652,0.805341,0.893126,0.8000,0.2000
148,34191,0.547325,0.171514,0.365178,0.885599,0.6500,0.3500
149,34271,0.607267,0.193996,0.454437,0.891095,0.6500,0.3500
149,34321,0.814479,0.206204,0.796224,0.887496,0.8000,0.2000
149,34371,0.571932,0.111705,0.347306,0.880411,0.5786,0.4214
149,34421,0.689967,0.191826,0.584192,0.886407,0.6500,0.3500
150,34501,0.561059,0.161529,0.274232,0.875656,0.5231,0.4769
150,34551,0.583339,0.191942,0.417611,0.891121,0.6500,0.3500
150,34601,0.646289,0.124402,0.520796,0.888917,0.6591,0.3409
150,34651,0.947024,0.171646,0.960816,0.891854,0.8000,0.2000
151,34731,0.492644,0.151078,0.225858,0.891323,0.5991,0.4009
151,34781,0.628718,0.178458,0.524842,0.884152,0.7109,0.2891
151,34831,0.784106,0.140482,0.749739,0.887705,0.7509,0.2491
151,34881,0.504698,0.136126,0.299666,0.885473,0.6500,0.3500
152,34961,0.656279,0.165910,0.528569,0.893454,0.6500,0.3500
152,35011,0.361184,0.179403,0.219726,0.886398,0.7878,0.2122
152,35061,0.480038,0.169369,0.254483,0.898924,0.6500,0.3500
152,35111,0.922946,0.153013,0.942604,0.886438,0.6500,0.3500
153,35191,0.430444,0.143524,0.309438,0.879720,0.7878,0.2122
153,35241,0.466830,0.168339,0.184695,0.888447,0.5991,0.4009
153,35291,0.701589,0.198392,0.605287,0.880435,0.6500,0.3500
153,35341,0.569162,0.187290,0.487147,0.897224,0.8000,0.2000
154,35421,0.867793,0.177897,0.853408,0.894509,0.6500,0.3500
154,35471,0.356771,0.169206,0.135858,0.891930,0.7078,0.2922
154,35521,0.667160,0.148813,0.610147,0.895211,0.8000,0.2000
154,35571,0.805323,0.184335,0.758648,0.892004,0.6500,0.3500
155,35651,0.523996,0.169772,0.331348,0.881771,0.6500,0.3500
155,35701,1.036503,0.199229,1.073461,0.888674,0.8000,0.2000
155,35751,0.639654,0.175475,0.506480,0.886977,0.6500,0.3500
155,35801,0.625773,0.176835,0.486657,0.884131,0.6500,0.3500
156,35881,0.613253,0.149386,0.545134,0.885728,0.8000,0.2000
156,35931,1.175886,0.186703,1.332505,0.885022,0.6500,0.3500
156,35981,0.453586,0.156319,0.221615,0.884389,0.6500,0.3500
156,36031,0.580340,0.142924,0.504509,0.883664,0.8000,0.2000
157,36111,0.560747,0.138462,0.308599,0.884524,0.5622,0.4378
157,36161,0.995499,0.173457,1.059527,0.876591,0.6500,0.3500
157,36211,0.475956,0.189725,0.301692,0.882571,0.7000,0.3000
157,36261,0.445632,0.174693,0.180191,0.884440,0.6231,0.3769
158,36341,0.556358,0.185483,0.403288,0.882309,0.6805,0.3195
158,36391,1.495175,0.193593,1.647998,0.883881,0.8000,0.2000
158,36441,0.631545,0.146951,0.422539,0.879069,0.5422,0.4578
158,36491,0.514066,0.208050,0.321925,0.885552,0.6591,0.3409
159,36571,0.372858,0.163429,0.219910,0.888839,0.7714,0.2286
159,36621,0.790098,0.163554,0.743460,0.876709,0.6500,0.3500
159,36671,0.598521,0.149109,0.455209,0.888893,0.6695,0.3305
159,36721,0.427224,0.149987,0.275464,0.884699,0.7509,0.2491
160,36801,0.554394,0.140378,0.294668,0.883746,0.5591,0.4409
160,36851,0.497399,0.111858,0.290582,0.881487,0.6500,0.3500
160,36901,0.890748,0.165036,0.891917,0.886072,0.8000,0.2000
160,36951,0.588680,0.188185,0.409205,0.885375,0.6231,0.3769
161,37031,0.907266,0.167274,0.921466,0.880896,0.6500,0.3500
161,37081,0.601631,0.131347,0.529300,0.890955,0.8000,0.2000
161,37131,0.696334,0.156367,0.595993,0.882682,0.6500,0.3500
161,37181,0.411108,0.130651,0.168395,0.880370,0.6591,0.3409
162,37261,0.746694,0.235506,0.699150,0.890015,0.7509,0.2491
162,37311,0.438409,0.159592,0.198281,0.884361,0.6500,0.3500
162,37361,0.441289,0.140238,0.209945,0.888568,0.6591,0.3409
162,37411,0.306680,0.144681,0.162530,0.883280,0.8000,0.2000
163,37491,0.753017,0.140454,0.681821,0.885238,0.6500,0.3500
163,37541,0.705690,0.173939,0.618953,0.890390,0.6805,0.3195
163,37591,0.622982,0.153592,0.543421,0.891388,0.7714,0.2286
163,37641,0.595077,0.176104,0.438023,0.886749,0.6500,0.3500
164,37721,0.527051,0.155059,0.378528,0.885283,0.7069,0.2931
164,37771,0.374616,0.163451,0.205170,0.885408,0.7509,0.2491
164,37821,0.457309,0.142473,0.126805,0.881701,0.5622,0.4378
164,37871,0.817633,0.212633,0.788285,0.889960,0.7114,0.2886
165,37951,0.435155,0.212616,0.214494,0.884996,0.6709,0.3291
165,38001,0.763488,0.166362,0.695463,0.889820,0.6500,0.3500
165,38051,0.528869,0.184609,0.383572,0.886158,0.7109,0.2891
165,38101,0.561612,0.188081,0.481145,0.883478,0.8000,0.2000
166,38181,0.440625,0.126953,0.201137,0.885388,0.6500,0.3500
166,38231,0.653545,0.179342,0.531734,0.879765,0.6500,0.3500
166,38281,0.685588,0.224765,0.445290,0.882196,0.4500,0.5500
166,38331,0.525970,0.153450,0.330862,0.888314,0.6500,0.3500
167,38411,0.613435,0.169728,0.468754,0.882128,0.6500,0.3500
167,38461,0.636507,0.165125,0.573723,0.887644,0.8000,0.2000
167,38511,0.675080,0.213461,0.512640,0.881067,0.5591,0.4409
167,38561,0.531635,0.175906,0.356593,0.886296,0.6695,0.3305
168,38641,0.721411,0.117011,0.631012,0.882436,0.6405,0.3595
168,38691,0.539091,0.219852,0.331136,0.882869,0.6231,0.3769
168,38741,0.441195,0.139776,0.249542,0.888385,0.7000,0.3000
168,38791,0.970554,0.131672,0.990844,0.889393,0.8000,0.2000
169,38871,0.469452,0.154702,0.248045,0.880637,0.6500,0.3500
169,38921,0.481249,0.171192,0.270668,0.888386,0.6591,0.3409
169,38971,0.435515,0.148074,0.242885,0.884986,0.7000,0.3000
169,39021,0.546865,0.164784,0.360320,0.893307,0.6500,0.3500
170,39101,0.831665,0.210252,0.810404,0.882946,0.7069,0.2931
170,39151,0.551030,0.150062,0.409804,0.880557,0.7000,0.3000
170,39201,0.527444,0.109348,0.310123,0.886705,0.6231,0.3769
170,39251,0.472410,0.128353,0.246426,0.892096,0.6500,0.3500
171,39331,0.485125,0.203396,0.384885,0.886086,0.8000,0.2000
171,39381,0.614041,0.161043,0.470076,0.881406,0.6500,0.3500
171,39431,0.355106,0.114668,0.113415,0.895338,0.6909,0.3091
171,39481,0.596316,0.120121,0.386849,0.884512,0.5791,0.4209
172,39561,0.430806,0.153082,0.155252,0.886333,0.6231,0.3769
172,39611,0.457452,0.195422,0.283708,0.876513,0.7069,0.2931
172,39661,0.683060,0.123444,0.632171,0.886618,0.8000,0.2000
172,39711,0.578631,0.131071,0.412531,0.887102,0.6500,0.3500
173,39791,0.924367,0.188519,0.946464,0.883329,0.6500,0.3500
173,39841,0.779782,0.163215,0.752912,0.887265,0.8000,0.2000
173,39891,0.618156,0.115992,0.383097,0.892594,0.5386,0.4614
173,39941,0.641353,0.206692,0.509145,0.886883,0.6500,0.3500
174,40021,0.357504,0.136567,0.180330,0.891589,0.7509,0.2491
174,40071,0.703010,0.187119,0.601720,0.891119,0.6500,0.3500
174,40121,0.534901,0.146370,0.352640,0.873386,0.6500,0.3500
174,40171,0.638762,0.141315,0.463782,0.879508,0.5791,0.4209
175,40251,0.509871,0.268148,0.306840,0.886928,0.6500,0.3500
175,40301,0.753544,0.157361,0.684190,0.882343,0.6500,0.3500
175,40351,0.487175,0.186142,0.198589,0.884227,0.5791,0.4209
175,40401,0.731627,0.177743,0.605021,0.881565,0.5422,0.4578
176,40481,0.668686,0.193479,0.577452,0.881563,0.7000,0.3000
176,40531,0.826905,0.192040,0.810199,0.893732,0.8000,0.2000
176,40581,0.901794,0.155212,0.916724,0.890042,0.4405,0.5595
176,40631,0.677102,0.175543,0.568465,0.878857,0.6500,0.3500
177,40711,0.584657,0.153758,0.508199,0.890488,0.8000,0.2000
177,40761,0.772989,0.229859,0.679962,0.881799,0.5391,0.4609
177,40811,0.702143,0.151900,0.601758,0.888573,0.6500,0.3500
177,40861,0.564928,0.134485,0.174141,0.884663,0.4500,0.5500
178,40941,0.662373,0.211288,0.472984,0.883894,0.5391,0.4609
178,40991,1.407736,0.226027,1.687633,0.887927,0.6500,0.3500
178,41041,0.560700,0.193905,0.479407,0.885872,0.8000,0.2000
178,41091,0.681179,0.185640,0.572462,0.883082,0.6500,0.3500
179,41171,0.491249,0.206160,0.272591,0.897329,0.6500,0.3500
179,41221,0.391741,0.172233,0.246288,0.882438,0.7714,0.2286
179,41271,0.811039,0.129656,0.760209,0.880844,0.5786,0.4214
179,41321,0.530617,0.130398,0.338191,0.887980,0.6500,0.3500
180,41401,0.720615,0.186328,0.649577,0.886371,0.7000,0.3000
180,41451,0.745626,0.171978,0.644224,0.884882,0.5786,0.4214
180,41501,0.497669,0.189906,0.287027,0.888863,0.6500,0.3500
180,41551,0.604707,0.193842,0.535658,0.880903,0.8000,0.2000
181,41631,1.100674,0.242442,1.219477,0.880038,0.6500,0.3500
181,41681,0.480097,0.153734,0.259901,0.889032,0.6500,0.3500
181,41731,0.480111,0.196556,0.377785,0.889413,0.8000,0.2000
181,41781,0.575332,0.207352,0.409124,0.884003,0.6500,0.3500
182,41861,0.571550,0.126339,0.401410,0.887526,0.6500,0.3500
182,41911,0.574549,0.174493,0.497694,0.881970,0.8000,0.2000
182,41961,1.022462,0.125484,1.096756,0.884486,0.6500,0.3500
182,42011,0.847125,0.203613,0.827712,0.883179,0.6500,0.3500
183,42091,0.864228,0.197255,0.859035,0.884999,0.8000,0.2000
183,42141,0.585292,0.152273,0.425691,0.881694,0.6500,0.3500
183,42191,0.431634,0.241149,0.185837,0.888116,0.6500,0.3500
183,42241,0.391485,0.142157,0.256333,0.893290,0.7878,0.2122
184,42321,0.898594,0.220321,0.908524,0.880153,0.6500,0.3500
184,42371,0.412006,0.144364,0.157000,0.885590,0.6500,0.3500
184,42421,0.502484,0.147355,0.289749,0.881422,0.6405,0.3595
184,42471,0.566579,0.232236,0.308551,0.881946,0.5500,0.4500
185,42551,0.407369,0.199825,0.150177,0.885011,0.6500,0.3500
185,42601,0.567281,0.148152,0.389642,0.883705,0.6405,0.3595
185,42651,0.513461,0.165106,0.309862,0.891572,0.6500,0.3500
185,42701,0.470632,0.175636,0.245490,0.888752,0.6500,0.3500
186,42781,1.302478,0.172352,1.407772,0.881303,0.8000,0.2000
186,42831,0.660367,0.151834,0.538593,0.886520,0.6500,0.3500
186,42881,1.098937,0.144306,1.213113,0.886897,0.6500,0.3500
186,42931,0.476309,0.178245,0.375539,0.879393,0.8000,0.2000
187,43011,0.511375,0.180959,0.200455,0.891389,0.5500,0.4500
187,43061,0.569895,0.145877,0.399335,0.886651,0.6500,0.3500
187,43111,0.805155,0.174460,0.785757,0.882748,0.8000,0.2000
187,43161,0.936217,0.250296,0.964375,0.883923,0.6500,0.3500
188,43241,0.611390,0.146588,0.455615,0.900686,0.6500,0.3500
188,43291,0.514228,0.183336,0.422679,0.880424,0.8000,0.2000
188,43341,0.544887,0.182131,0.360562,0.887204,0.6500,0.3500
188,43391,1.065216,0.210612,1.161755,0.885929,0.6500,0.3500
189,43471,0.467156,0.203082,0.285888,0.890114,0.7000,0.3000
189,43521,0.802103,0.197558,0.735952,0.887045,0.5622,0.4378
189,43571,1.204856,0.154139,1.375831,0.887331,0.6500,0.3500
189,43621,0.396103,0.107673,0.213052,0.883355,0.7269,0.2731
190,43701,0.498997,0.151872,0.241621,0.883615,0.5991,0.4009
190,43751,0.498570,0.255516,0.287108,0.891286,0.6500,0.3500
190,43801,0.360831,0.170042,0.229109,0.887721,0.8000,0.2000
190,43851,0.489987,0.186904,0.222349,0.889939,0.5991,0.4009
191,43931,0.558832,0.127542,0.379381,0.892099,0.6500,0.3500
191,43981,0.634599,0.173013,0.401375,0.890404,0.5231,0.4769
191,44031,0.493727,0.157686,0.186678,0.888001,0.5622,0.4378
191,44081,0.706163,0.149119,0.618653,0.892511,0.6805,0.3195
192,44161,0.847032,0.233311,0.839215,0.878298,0.8000,0.2000
192,44211,0.420873,0.139441,0.138622,0.887472,0.6231,0.3769
192,44261,0.486663,0.130869,0.280881,0.884522,0.6591,0.3409
192,44311,0.708682,0.172862,0.664248,0.886419,0.8000,0.2000
193,44391,0.455161,0.251967,0.225779,0.881158,0.6500,0.3500
193,44441,0.442799,0.217614,0.201541,0.890851,0.6500,0.3500
193,44491,0.471138,0.191594,0.167620,0.888735,0.5791,0.4209
193,44541,0.462634,0.193698,0.179977,0.885031,0.5991,0.4009
194,44621,0.376958,0.149959,0.139551,0.882498,0.6805,0.3195
194,44671,0.662377,0.187468,0.606887,0.884341,0.8000,0.2000
194,44721,0.484483,0.220390,0.267923,0.886666,0.6500,0.3500
194,44771,0.478837,0.218100,0.258802,0.887473,0.6500,0.3500
195,44851,0.699336,0.117649,0.636559,0.888574,0.7509,0.2491
195,44901,0.509853,0.134015,0.203341,0.884479,0.5500,0.4500
195,44951,0.794224,0.172348,0.745442,0.884819,0.6500,0.3500
195,45001,0.523437,0.187434,0.166143,0.879445,0.4991,0.5009
196,45081,0.633058,0.185006,0.494975,0.889498,0.6500,0.3500
196,45131,0.644942,0.204314,0.510700,0.894248,0.6500,0.3500
196,45181,0.492125,0.189924,0.274810,0.879224,0.6405,0.3595
196,45231,0.770317,0.130099,0.678352,0.896611,0.5786,0.4214
197,45311,0.392396,0.159102,0.125115,0.888774,0.6500,0.3500
197,45361,0.571939,0.186929,0.492819,0.888421,0.8000,0.2000
197,45411,0.769576,0.156975,0.674567,0.882095,0.5422,0.4578
197,45461,0.657889,0.208794,0.536144,0.883988,0.6500,0.3500
198,45541,0.295148,0.173198,0.149367,0.878274,0.8000,0.2000
