epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
22,5161,0.902440,0.350594,0.909252,0.886545,0.7000,0.3000
22,5211,0.529714,0.148224,0.340381,0.881334,0.6500,0.3500
23,5291,0.476851,0.177811,0.277558,0.880648,0.6695,0.3305
23,5341,0.708057,0.229599,0.665415,0.878625,0.8000,0.2000
23,5391,0.856457,0.130375,0.836984,0.892620,0.6500,0.3500
23,5441,0.468639,0.211450,0.262060,0.890637,0.6714,0.3286
24,5521,0.575487,0.152748,0.495475,0.895535,0.8000,0.2000
24,5571,0.586363,0.193540,0.360342,0.885420,0.5695,0.4305
24,5621,0.350361,0.149677,0.121412,0.884576,0.7000,0.3000
24,5671,0.328686,0.196336,0.187302,0.894222,0.8000,0.2000
25,5751,0.564005,0.174062,0.390032,0.887099,0.6500,0.3500
25,5801,0.441382,0.183437,0.198699,0.892080,0.6500,0.3500
25,5851,0.660400,0.162742,0.604605,0.883581,0.8000,0.2000
25,5901,0.559452,0.149489,0.318463,0.890402,0.5786,0.4214
26,5981,0.480168,0.148797,0.258850,0.891187,0.6500,0.3500
26,6031,0.519364,0.146033,0.427054,0.888601,0.8000,0.2000
26,6081,0.521267,0.131098,0.304930,0.878900,0.6231,0.3769
26,6131,0.413999,0.162185,0.183647,0.880726,0.6695,0.3305
27,6211,0.399120,0.206686,0.270126,0.878054,0.7878,0.2122
27,6261,0.491642,0.130502,0.284622,0.876109,0.6500,0.3500
27,6311,0.699534,0.209639,0.599957,0.884462,0.6500,0.3500
27,6361,0.426212,0.180469,0.167746,0.886611,0.6405,0.3595
28,6441,0.627425,0.187882,0.410691,0.885035,0.5431,0.4569
28,6491,0.596678,0.238295,0.465587,0.885501,0.6878,0.3122
28,6541,1.438654,0.191752,1.577551,0.883064,0.8000,0.2000
28,6591,0.523827,0.163490,0.322339,0.898019,0.6500,0.3500
29,6671,0.659841,0.180746,0.542869,0.877076,0.6500,0.3500
29,6721,0.447593,0.162815,0.329524,0.885967,0.7878,0.2122
29,6771,0.757416,0.176794,0.689611,0.883338,0.6500,0.3500
29,6821,0.603850,0.168122,0.455361,0.880711,0.6509,0.3491
30,6901,0.438346,0.142687,0.271420,0.882675,0.7269,0.2731
30,6951,0.502173,0.112452,0.173952,0.885382,0.5386,0.4614
30,7001,1.637331,0.222120,2.039502,0.890441,0.6500,0.3500
30,7051,0.498261,0.159493,0.383677,0.884817,0.7714,0.2286
31,7131,0.587685,0.145863,0.352310,0.889924,0.5622,0.4378
31,7181,0.414624,0.141261,0.195893,0.880398,0.6805,0.3195
31,7231,0.840787,0.154018,0.828242,0.890968,0.8000,0.2000
31,7281,0.448732,0.208650,0.216794,0.879473,0.6500,0.3500
32,7361,0.702322,0.214394,0.602751,0.887239,0.6500,0.3500
32,7411,0.320862,0.152687,0.180317,0.883045,0.8000,0.2000
32,7461,0.541253,0.108549,0.260117,0.884864,0.5500,0.4500
32,7511,0.480210,0.136815,0.313120,0.883224,0.7069,0.2931
33,7591,0.652322,0.155076,0.595141,0.881045,0.8000,0.2000
33,7641,0.711830,0.136860,0.614874,0.891892,0.6500,0.3500
33,7691,0.501548,0.141878,0.299096,0.877532,0.6500,0.3500
33,7741,0.304918,0.146770,0.157870,0.893113,0.8000,0.2000
34,7821,0.510342,0.161010,0.288583,0.876938,0.6231,0.3769
34,7871,0.368018,0.157747,0.148881,0.879336,0.7000,0.3000
34,7921,0.373952,0.250846,0.235163,0.889253,0.7878,0.2122
34,7971,0.464220,0.142810,0.237128,0.885960,0.6500,0.3500
35,8051,0.432076,0.157520,0.195368,0.889726,0.6591,0.3409
35,8101,0.408190,0.142910,0.280013,0.884092,0.7878,0.2122
35,8151,0.601545,0.130295,0.374593,0.892967,0.5622,0.4378
35,8201,0.884011,0.182093,0.887051,0.876678,0.7069,0.2931
36,8281,0.542296,0.188218,0.459280,0.874361,0.8000,0.2000
