epoch,train_loss,valid_loss,epoch_time
1,0.6013039105520113,0.5703594874792688,144.07648348808289
2,0.5838378253448298,0.5659801663540912,144.11937141418457
3,0.58415822235531,0.5995775927187086,143.86237120628357
4,0.580208347811681,0.5784204748459664,144.02714729309082
5,0.582123070830505,0.5989492317686538,144.43816900253296
6,0.5717336486361194,0.6072592424729445,143.9957618713379
7,0.5693332483543939,0.5842737675364478,144.1636099815369
8,0.5605816427692194,0.6012079941222397,143.81786131858826
9,0.5751326525191642,0.5994991629014075,143.67077708244324
10,0.5592388396417162,0.5630528077626206,144.85110449790955
11,0.5466442933818899,0.5687575885858784,144.04274654388428
12,0.5504762091469447,0.6676949430585052,143.94560074806213
13,0.5427564587963245,0.5589912157737094,144.57848477363586
14,0.5396187155296067,0.538182276125888,144.3440933227539
15,0.5456036959701885,0.7494163702353255,144.30450129508972
16,0.5474962039243243,0.5974990413640167,143.53028535842896
17,0.5299818010753427,0.5980080199660933,144.2237193584442
18,0.5389459498047535,0.5668199369753529,144.27859091758728
19,0.5337651001675049,0.5286188270099673,144.7771978378296
20,0.5290443779284657,0.5336604156884978,144.40835118293762
21,0.5303588251749325,0.5477734193556293,144.61454010009766
22,0.5337527765535407,0.5299256341148258,144.05273580551147
23,0.5163818200851007,0.5352986255731566,145.26838159561157
24,0.5230945554186323,0.5314156880276686,144.12929224967957
25,0.5230017932817956,0.5314515416051342,144.5455024242401
26,0.5148577144815477,0.5294287888408522,144.51048636436462
27,0.5249397090225107,0.5255946805451382,144.54795217514038
28,0.5294702997450063,0.5191843987328204,145.1902666091919
29,0.5139632205790865,0.5216464860496822,145.0375292301178
30,0.5242309455917098,0.5263613414705769,145.3391990661621
31,0.5294136404133405,0.5344622207521409,145.88985657691956
32,0.5184788987664157,0.5246554249398363,145.12339043617249
33,0.5209763740260358,0.555777380567094,144.31056785583496
34,0.523685695138505,0.5236566533496292,144.59528636932373
35,0.5161309125354073,0.5227355392887212,144.68766927719116
36,0.5258769035603684,0.5274847895529305,144.02827334403992
37,0.5201989332891214,0.5269704888132544,144.6407835483551
38,0.5227055628399063,0.5277184506503996,144.85258889198303
39,0.5290062879479707,0.5223365720044854,145.14875602722168
40,0.5231163429858458,0.5260929417086709,144.65765762329102
41,0.5170224721830681,0.5287218073712875,144.06290221214294
42,0.5277305855174224,0.5294589941337199,151.45917344093323
43,0.528016425811701,0.532864713230002,155.0240499973297
44,0.5388928977987207,0.5377271382806085,152.10558557510376
45,0.533404378528089,0.558975748609088,155.3659863471985
46,0.5320552304521154,0.5356433617263823,154.745263338089
47,0.530356394088344,0.5621516653399112,151.9749391078949
48,0.5279216555564864,0.5441753138300425,155.2620644569397
49,0.529074208788952,0.8455062438608648,150.25183153152466
50,0.5273907007655666,0.6321988729007657,144.56298327445984
51,0.5311565098145702,0.5421825591714658,144.34242844581604
52,0.5305405226269422,0.5429536938079944,144.02075147628784
53,0.5269758469520603,0.5760387090074764,144.15117979049683
54,0.5404026605223319,0.5270278091477074,143.83636212348938
55,0.530182553327416,0.5194436562524029,143.71924567222595
56,0.5229710525732841,0.5290442762894673,144.02175307273865
57,0.5357618513918224,0.5365525100046633,144.08314108848572
58,0.5274924069462003,0.5340156333885707,144.17080903053284
59,0.5297311563059276,0.6471963807855025,144.70503115653992
60,0.5391513897961016,0.5351407783611691,144.00839567184448
61,0.5292523439571026,0.528273416505775,144.1139054298401
62,0.5211989340743327,0.5381126937811861,144.50687861442566
63,0.5302894313782699,0.5293256833007575,143.9587779045105
64,0.5247943109792886,0.5402027214374827,144.2567012310028
